"","armortype","ENPC","SD","Run","flexible","Delay","Scenario","group","bin","M","EE","uncert","designcost","armor2per","armor3per","LSCOOption","CRLCOOption","MESCDOption","TotalProb","Armor","TENPC","select"
"1",4,5.64631373306073,1.88483979082763,1,0,0,"Uncertainty",4,1,10000,0.25,1,1,0,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"2",3,5.52071916430844,2.75331369925173,122,1,0,"Flexibility",487,1,10000,0.25,1,1,0,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5520.71916430844,"min"
"3",3,5.57776276688119,2.82091109465329,243,1,3,"3 Month",3,1,10000,0.25,1,1,0,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5577.76276688119,"min"
"4",2,5.640297323193,3.15793971328069,364,1,6,"6 Month",486,1,10000,0.25,1,1,0,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5640.297323193,"min"
"5",4,5.64631373306073,1.88483979082763,485,1,9,"9 Month",4,1,10000,0.25,1,1,0,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"6",4,5.64631373306073,1.88483979082763,606,1,12,"12 Month",488,1,10000,0.25,1,1,0,0,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"7",4,5.64631373306073,1.88483979082763,2,0,0,"Uncertainty",8,2,10000,0.25,1,1,0,0.1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"8",3,5.53867121500931,2.74411848344624,123,1,0,"Flexibility",491,2,10000,0.25,1,1,0,0.1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5538.67121500931,"min"
"9",3,5.59589434217507,2.81163680353457,244,1,3,"3 Month",7,2,10000,0.25,1,1,0,0.1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Advanced",5595.89434217507,"min"
"10",2,5.640297323193,3.15793971328069,365,1,6,"6 Month",490,2,10000,0.25,1,1,0,0.1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Simple",5640.297323193,"min"
"11",4,5.64631373306073,1.88483979082763,486,1,9,"9 Month",8,2,10000,0.25,1,1,0,0.1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"12",4,5.64631373306073,1.88483979082763,607,1,12,"12 Month",492,2,10000,0.25,1,1,0,0.1,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
"13",4,5.64631373306073,1.88483979082763,3,0,0,"Uncertainty",12,3,10000,0.25,1,1,0,0.2,0.333333333333333,0.333333333333333,0.333333333333333,1,"Robust",5646.31373306073,"min"
