"","armortype","ENPC","SD","Run","flexible","Delay","Scenario","group","bin","M","EE","uncert","designcost","armor2per","armor3per","LSCOOption","CRLCOOption","MESCDOption","TotalProb","Armor","LSCOOptionText","CRLCOOptionText","MESCDOptionText","TENPC","select","tag"
"1",1,4,0,1,0,0,"Uncertainty",1,1,100,0.25,1,1,0.25,0.5,0,0,1,1,"Standard","LSCO =  0","CRLCO =  0","MESCD =  1",4000,"min","LSCO =  0   CRLCO =  0   MESCD =  1"
"2",1,4,0,63,1,0,"Flexibility",1,1,100,0.25,1,1,0.25,0.5,0,0,1,1,"Standard","LSCO =  0","CRLCO =  0","MESCD =  1",4000,"min","LSCO =  0   CRLCO =  0   MESCD =  1"
"3",1,4,0,125,1,3,"3 Month Delay",1,1,100,0.25,1,1,0.25,0.5,0,0,1,1,"Standard","LSCO =  0","CRLCO =  0","MESCD =  1",4000,"min","LSCO =  0   CRLCO =  0   MESCD =  1"
"4",1,4,0,187,1,6,"6 Month Delay",1,1,100,0.25,1,1,0.25,0.5,0,0,1,1,"Standard","LSCO =  0","CRLCO =  0","MESCD =  1",4000,"min","LSCO =  0   CRLCO =  0   MESCD =  1"
"5",1,4,0,249,1,9,"9 Month Delay",1,1,100,0.25,1,1,0.25,0.5,0,0,1,1,"Standard","LSCO =  0","CRLCO =  0","MESCD =  1",4000,"min","LSCO =  0   CRLCO =  0   MESCD =  1"
"6",1,4,0,311,1,12,"12 Month Delay",1,1,100,0.25,1,1,0.25,0.5,0,0,1,1,"Standard","LSCO =  0","CRLCO =  0","MESCD =  1",4000,"min","LSCO =  0   CRLCO =  0   MESCD =  1"
"7",1,4,0,2,0,0,"Uncertainty",5,2,100,0.25,1,1,0.25,0.5,0,0.1,0.9,1,"Standard","LSCO =  0","CRLCO =  0.1","MESCD =  0.9",4000,"min","LSCO =  0   CRLCO =  0.1   MESCD =  0.9"
"8",1,4,0,64,1,0,"Flexibility",5,2,100,0.25,1,1,0.25,0.5,0,0.1,0.9,1,"Standard","LSCO =  0","CRLCO =  0.1","MESCD =  0.9",4000,"min","LSCO =  0   CRLCO =  0.1   MESCD =  0.9"
"9",1,4,0,126,1,3,"3 Month Delay",5,2,100,0.25,1,1,0.25,0.5,0,0.1,0.9,1,"Standard","LSCO =  0","CRLCO =  0.1","MESCD =  0.9",4000,"min","LSCO =  0   CRLCO =  0.1   MESCD =  0.9"
"10",1,4,0,188,1,6,"6 Month Delay",5,2,100,0.25,1,1,0.25,0.5,0,0.1,0.9,1,"Standard","LSCO =  0","CRLCO =  0.1","MESCD =  0.9",4000,"min","LSCO =  0   CRLCO =  0.1   MESCD =  0.9"
"11",1,4,0,250,1,9,"9 Month Delay",5,2,100,0.25,1,1,0.25,0.5,0,0.1,0.9,1,"Standard","LSCO =  0","CRLCO =  0.1","MESCD =  0.9",4000,"min","LSCO =  0   CRLCO =  0.1   MESCD =  0.9"
"12",1,4,0,312,1,12,"12 Month Delay",5,2,100,0.25,1,1,0.25,0.5,0,0.1,0.9,1,"Standard","LSCO =  0","CRLCO =  0.1","MESCD =  0.9",4000,"min","LSCO =  0   CRLCO =  0.1   MESCD =  0.9"
"13",1,4,0,3,0,0,"Uncertainty",9,3,100,0.25,1,1,0.25,0.5,0,0.2,0.8,1,"Standard","LSCO =  0","CRLCO =  0.2","MESCD =  0.8",4000,"min","LSCO =  0   CRLCO =  0.2   MESCD =  0.8"
"14",1,4,0,65,1,0,"Flexibility",9,3,100,0.25,1,1,0.25,0.5,0,0.2,0.8,1,"Standard","LSCO =  0","CRLCO =  0.2","MESCD =  0.8",4000,"min","LSCO =  0   CRLCO =  0.2   MESCD =  0.8"
"15",1,4,0,127,1,3,"3 Month Delay",9,3,100,0.25,1,1,0.25,0.5,0,0.2,0.8,1,"Standard","LSCO =  0","CRLCO =  0.2","MESCD =  0.8",4000,"min","LSCO =  0   CRLCO =  0.2   MESCD =  0.8"
"16",1,4,0,189,1,6,"6 Month Delay",9,3,100,0.25,1,1,0.25,0.5,0,0.2,0.8,1,"Standard","LSCO =  0","CRLCO =  0.2","MESCD =  0.8",4000,"min","LSCO =  0   CRLCO =  0.2   MESCD =  0.8"
"17",1,4,0,251,1,9,"9 Month Delay",9,3,100,0.25,1,1,0.25,0.5,0,0.2,0.8,1,"Standard","LSCO =  0","CRLCO =  0.2","MESCD =  0.8",4000,"min","LSCO =  0   CRLCO =  0.2   MESCD =  0.8"
"18",1,4,0,313,1,12,"12 Month Delay",9,3,100,0.25,1,1,0.25,0.5,0,0.2,0.8,1,"Standard","LSCO =  0","CRLCO =  0.2","MESCD =  0.8",4000,"min","LSCO =  0   CRLCO =  0.2   MESCD =  0.8"
"19",1,4.18108215056532,1.21866685021222,4,0,0,"Uncertainty",13,4,100,0.25,1,1,0.25,0.5,0,0.3,0.7,1,"Standard","LSCO =  0","CRLCO =  0.3","MESCD =  0.7",4181.08215056532,"min","LSCO =  0   CRLCO =  0.3   MESCD =  0.7"
"20",1,4.18108215056532,1.21866685021222,66,1,0,"Flexibility",13,4,100,0.25,1,1,0.25,0.5,0,0.3,0.7,1,"Standard","LSCO =  0","CRLCO =  0.3","MESCD =  0.7",4181.08215056532,"min","LSCO =  0   CRLCO =  0.3   MESCD =  0.7"
"21",1,4.18108215056532,1.21866685021222,128,1,3,"3 Month Delay",13,4,100,0.25,1,1,0.25,0.5,0,0.3,0.7,1,"Standard","LSCO =  0","CRLCO =  0.3","MESCD =  0.7",4181.08215056532,"min","LSCO =  0   CRLCO =  0.3   MESCD =  0.7"
"22",1,4.18108215056532,1.21866685021222,190,1,6,"6 Month Delay",13,4,100,0.25,1,1,0.25,0.5,0,0.3,0.7,1,"Standard","LSCO =  0","CRLCO =  0.3","MESCD =  0.7",4181.08215056532,"min","LSCO =  0   CRLCO =  0.3   MESCD =  0.7"
"23",1,4.18108215056532,1.21866685021222,252,1,9,"9 Month Delay",13,4,100,0.25,1,1,0.25,0.5,0,0.3,0.7,1,"Standard","LSCO =  0","CRLCO =  0.3","MESCD =  0.7",4181.08215056532,"min","LSCO =  0   CRLCO =  0.3   MESCD =  0.7"
"24",1,4.18108215056532,1.21866685021222,314,1,12,"12 Month Delay",13,4,100,0.25,1,1,0.25,0.5,0,0.3,0.7,1,"Standard","LSCO =  0","CRLCO =  0.3","MESCD =  0.7",4181.08215056532,"min","LSCO =  0   CRLCO =  0.3   MESCD =  0.7"
"25",1,4.3271857855608,1.39714756020135,5,0,0,"Uncertainty",17,5,100,0.25,1,1,0.25,0.5,0,0.4,0.6,1,"Standard","LSCO =  0","CRLCO =  0.4","MESCD =  0.6",4327.1857855608,"min","LSCO =  0   CRLCO =  0.4   MESCD =  0.6"
"26",2,4.27403945593747,1.05384557342674,67,1,0,"Flexibility",18,5,100,0.25,1,1,0.25,0.5,0,0.4,0.6,1,"Simple","LSCO =  0","CRLCO =  0.4","MESCD =  0.6",4274.03945593747,"min","LSCO =  0   CRLCO =  0.4   MESCD =  0.6"
"27",2,4.27389181414339,1.05378946474558,129,1,3,"3 Month Delay",18,5,100,0.25,1,1,0.25,0.5,0,0.4,0.6,1,"Simple","LSCO =  0","CRLCO =  0.4","MESCD =  0.6",4273.89181414339,"min","LSCO =  0   CRLCO =  0.4   MESCD =  0.6"
"28",2,4.27374494476369,1.05373367914378,191,1,6,"6 Month Delay",18,5,100,0.25,1,1,0.25,0.5,0,0.4,0.6,1,"Simple","LSCO =  0","CRLCO =  0.4","MESCD =  0.6",4273.74494476369,"min","LSCO =  0   CRLCO =  0.4   MESCD =  0.6"
"29",2,4.27359884375737,1.05367821462749,253,1,9,"9 Month Delay",18,5,100,0.25,1,1,0.25,0.5,0,0.4,0.6,1,"Simple","LSCO =  0","CRLCO =  0.4","MESCD =  0.6",4273.59884375737,"min","LSCO =  0   CRLCO =  0.4   MESCD =  0.6"
"30",2,4.27345350710454,1.05362306921639,315,1,12,"12 Month Delay",18,5,100,0.25,1,1,0.25,0.5,0,0.4,0.6,1,"Simple","LSCO =  0","CRLCO =  0.4","MESCD =  0.6",4273.45350710454,"min","LSCO =  0   CRLCO =  0.4   MESCD =  0.6"
"31",1,4.43109691319683,1.57356408822674,6,0,0,"Uncertainty",21,6,100,0.25,1,1,0.25,0.5,0,0.5,0.5,1,"Standard","LSCO =  0","CRLCO =  0.5","MESCD =  0.5",4431.09691319683,"min","LSCO =  0   CRLCO =  0.5   MESCD =  0.5"
"32",1,4.43109691319683,1.57356408822674,68,1,0,"Flexibility",21,6,100,0.25,1,1,0.25,0.5,0,0.5,0.5,1,"Standard","LSCO =  0","CRLCO =  0.5","MESCD =  0.5",4431.09691319683,"min","LSCO =  0   CRLCO =  0.5   MESCD =  0.5"
"33",1,4.43109691319683,1.57356408822674,130,1,3,"3 Month Delay",21,6,100,0.25,1,1,0.25,0.5,0,0.5,0.5,1,"Standard","LSCO =  0","CRLCO =  0.5","MESCD =  0.5",4431.09691319683,"min","LSCO =  0   CRLCO =  0.5   MESCD =  0.5"
"34",1,4.43109691319683,1.57356408822674,192,1,6,"6 Month Delay",21,6,100,0.25,1,1,0.25,0.5,0,0.5,0.5,1,"Standard","LSCO =  0","CRLCO =  0.5","MESCD =  0.5",4431.09691319683,"min","LSCO =  0   CRLCO =  0.5   MESCD =  0.5"
"35",1,4.43109691319683,1.57356408822674,254,1,9,"9 Month Delay",21,6,100,0.25,1,1,0.25,0.5,0,0.5,0.5,1,"Standard","LSCO =  0","CRLCO =  0.5","MESCD =  0.5",4431.09691319683,"min","LSCO =  0   CRLCO =  0.5   MESCD =  0.5"
"36",1,4.43109691319683,1.57356408822674,316,1,12,"12 Month Delay",21,6,100,0.25,1,1,0.25,0.5,0,0.5,0.5,1,"Standard","LSCO =  0","CRLCO =  0.5","MESCD =  0.5",4431.09691319683,"min","LSCO =  0   CRLCO =  0.5   MESCD =  0.5"
"37",1,4.68010535365244,2.02937158127777,7,0,0,"Uncertainty",25,7,100,0.25,1,1,0.25,0.5,0,0.6,0.4,1,"Standard","LSCO =  0","CRLCO =  0.6","MESCD =  0.4",4680.10535365244,"min","LSCO =  0   CRLCO =  0.6   MESCD =  0.4"
"38",1,4.68010535365244,2.02937158127777,69,1,0,"Flexibility",25,7,100,0.25,1,1,0.25,0.5,0,0.6,0.4,1,"Standard","LSCO =  0","CRLCO =  0.6","MESCD =  0.4",4680.10535365244,"min","LSCO =  0   CRLCO =  0.6   MESCD =  0.4"
"39",1,4.68010535365244,2.02937158127777,131,1,3,"3 Month Delay",25,7,100,0.25,1,1,0.25,0.5,0,0.6,0.4,1,"Standard","LSCO =  0","CRLCO =  0.6","MESCD =  0.4",4680.10535365244,"min","LSCO =  0   CRLCO =  0.6   MESCD =  0.4"
"40",1,4.68010535365244,2.02937158127777,193,1,6,"6 Month Delay",25,7,100,0.25,1,1,0.25,0.5,0,0.6,0.4,1,"Standard","LSCO =  0","CRLCO =  0.6","MESCD =  0.4",4680.10535365244,"min","LSCO =  0   CRLCO =  0.6   MESCD =  0.4"
"41",1,4.68010535365244,2.02937158127777,255,1,9,"9 Month Delay",25,7,100,0.25,1,1,0.25,0.5,0,0.6,0.4,1,"Standard","LSCO =  0","CRLCO =  0.6","MESCD =  0.4",4680.10535365244,"min","LSCO =  0   CRLCO =  0.6   MESCD =  0.4"
"42",1,4.68010535365244,2.02937158127777,317,1,12,"12 Month Delay",25,7,100,0.25,1,1,0.25,0.5,0,0.6,0.4,1,"Standard","LSCO =  0","CRLCO =  0.6","MESCD =  0.4",4680.10535365244,"min","LSCO =  0   CRLCO =  0.6   MESCD =  0.4"
"43",1,4.79625263648004,2.09746564209753,8,0,0,"Uncertainty",29,8,100,0.25,1,1,0.25,0.5,0,0.7,0.3,1,"Standard","LSCO =  0","CRLCO =  0.7","MESCD =  0.3",4796.25263648004,"min","LSCO =  0   CRLCO =  0.7   MESCD =  0.3"
"44",2,4.7649764860477,2.24422577378435,70,1,0,"Flexibility",30,8,100,0.25,1,1,0.25,0.5,0,0.7,0.3,1,"Simple","LSCO =  0","CRLCO =  0.7","MESCD =  0.3",4764.9764860477,"min","LSCO =  0   CRLCO =  0.7   MESCD =  0.3"
"45",2,4.76472598937442,2.24418157414515,132,1,3,"3 Month Delay",30,8,100,0.25,1,1,0.25,0.5,0,0.7,0.3,1,"Simple","LSCO =  0","CRLCO =  0.7","MESCD =  0.3",4764.72598937442,"min","LSCO =  0   CRLCO =  0.7   MESCD =  0.3"
