"","armortype","ENPC","SD","Run","flexible","Delay","Scenario","group","bin","M","EE","uncert","designcost","armor2per","armor3per","LSCOOption","CRLCOOption","MESCDOption","TotalProb","Armor","LSCOOptionText","CRLCOOptionText","MESCDOptionText","TENPC"
"1",1,4,0,1,0,0,"Uncertainty",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4000
"2",2,4.125,0,1,0,0,"Uncertainty",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4125
"3",3,4.75,0,1,0,0,"Uncertainty",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4750
"4",4,5,0,1,0,0,"Uncertainty",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5000
"5",1,4.13890541562943,0.922658873965468,2,0,0,"Uncertainty",5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4138.90541562943
"6",2,4.25314035171605,0.869572256244673,2,0,0,"Uncertainty",6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4253.14035171605
"7",3,4.84730435356777,0.733161757372873,2,0,0,"Uncertainty",7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4847.30435356777
"8",4,5.0523079462341,0.5215442728308,2,0,0,"Uncertainty",8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5052.3079462341
"9",1,4.30369843974604,1.3694037098582,3,0,0,"Uncertainty",9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4303.69843974604
"10",2,4.37265313134655,1.19013924715933,3,0,0,"Uncertainty",10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4372.65313134655
"11",3,4.93207122091281,0.986969052165679,3,0,0,"Uncertainty",11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4932.07122091281
"12",4,5.1071599041071,0.753141968254095,3,0,0,"Uncertainty",12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5107.1599041071
"13",1,4.46002658220603,1.64959618828988,4,0,0,"Uncertainty",13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4460.02658220603
"14",2,4.50738563221555,1.46895594125701,4,0,0,"Uncertainty",14,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4507.38563221555
"15",3,5.04193545517303,1.27040101867684,4,0,0,"Uncertainty",15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5041.93545517302
"16",4,5.16860678302015,0.93700386530408,4,0,0,"Uncertainty",16,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5168.60678302015
"17",1,4.60963577097743,1.84844323357069,5,0,0,"Uncertainty",17,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4609.63577097743
"18",2,4.63457806728766,1.65875782104476,5,0,0,"Uncertainty",18,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4634.57806728766
"19",3,5.13448331681809,1.44387168559231,5,0,0,"Uncertainty",19,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5134.48331681809
"20",4,5.21669895928342,1.05913024029416,5,0,0,"Uncertainty",20,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5216.69895928342
"21",1,4.73973973876801,2.00749192058076,6,0,0,"Uncertainty",21,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4739.73973876801
"22",2,4.76324590693167,1.83529322186902,6,0,0,"Uncertainty",22,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4763.24590693167
"23",3,5.23771644899841,1.61732260095904,6,0,0,"Uncertainty",23,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5237.71644899841
"24",4,5.27302759858778,1.17866332264804,6,0,0,"Uncertainty",24,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5273.02759858778
"25",1,4.8769421562589,2.15210103096736,7,0,0,"Uncertainty",25,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4876.9421562589
"26",2,4.89495149223434,2.00524775364489,7,0,0,"Uncertainty",26,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",4894.95149223434
"27",3,5.34578573789751,1.75879166899174,7,0,0,"Uncertainty",27,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5345.78573789751
"28",4,5.32562086952737,1.27580893462146,7,0,0,"Uncertainty",28,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Robust","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5325.62086952737
"29",1,5.0335496146828,2.30391074290084,8,0,0,"Uncertainty",29,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standard","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5033.5496146828
"30",2,5.01380713520903,2.1212176437001,8,0,0,"Uncertainty",30,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simple","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5013.80713520903
"31",3,5.44594568317981,1.87913323345503,8,0,0,"Uncertainty",31,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Advanced","LSCO =  NA","CRLCO =  NA","MESCD =  NA",5445.94568317981
